,Unnamed: 0,precio_estimado,precio_venta,fecha,autor,casa_subasta,tipo,tecnica,dimensiones,fecha_creacion,titulo,precio_ajustado,is_inch,height,width
1257,1432," 1,500 - 2,500 USD ", 850 USD* ,2022-08-13, Jacques-Enguerrand Gourgue,Burchard Galleries,12 PM International Estate Antiques Fine Art Jewelry Auction, Oil/Masonite ," 20'' x 16'', 22'' x 18''. ",,Seated Figure in a Dark Forest by Jacques-Enguerrand Gourgue,,1,20.0,16.0
1261,1436," 10,000 - 15,000 MXN "," 8,000 MXN* ",2022-08-11, Francisco Toledo,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Stencil on handmade paper , 26 x 26 cm ,,Dos zanahorias by Francisco Toledo,401 USD,0,26.0,26.0
1263,1438," 6,000 - 10,000 MXN "," 5,000 MXN* ",2022-08-11, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, etchings and etching , Each 28 x 20.5 cm , 1974 ,"Estudio de manos; Contorsionistas by José Luis Cuevas, 1974",251 USD,1,28.0,20.5
1264,1439," 9,000 - 15,000 MXN "," 9,500 MXN* ",2022-08-11, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Aquatint and etching , 43 x 63 cm , 1981 ,"Pescadores en Blanes by José Luis Cuevas, 1981",477 USD,0,43.0,63.0
1266,1441," 8,000 - 12,000 MXN "," 8,500 MXN* ",2022-08-11, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Aquatint , 59 x 44 cm , 97 ,"Untitled by José Luis Cuevas, 97",427 USD,0,59.0,44.0
1267,1442," 5,000 - 8,000 MXN "," 4,000 MXN* ",2022-08-11, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Engraving , 38 x 28 cm , 92 ,"La giganta by José Luis Cuevas, 92",201 USD,0,38.0,28.0
1270,1445," 8,000 - 12,000 MXN "," 6,000 MXN* ",2022-08-11, Francisco Toledo,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Stencil and die cut on handmade paper , 70 x 56 cm ,,"Serpientes, papalote by Francisco Toledo",301 USD,0,70.0,56.0
1276,1451," 10,000 - 15,000 MXN "," 8,000 MXN* ",2022-08-11, Rafael Coronel,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Serigraph on handmade paper , 25 x 19 cm ,,San Francisco de Perfil by Rafael Coronel,401 USD,0,25.0,19.0
1278,1453," 24,000 - 40,000 MXN "," 22,000 MXN* ",2022-08-11, Francisco Toledo,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Lithograph , 56 x 76 cm ,,Lengua larga by Francisco Toledo,"1,104 USD",0,56.0,76.0
1283,1458," 8,000 - 12,000 MXN "," 9,000 MXN* ",2022-08-11, Francisco Toledo,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Stencil and die cut on handmade paper , 70 x 56 cm ,,"Bicicleta, papalote by Francisco Toledo",452 USD,0,70.0,56.0
1284,1459," 8,000 - 12,000 MXN "," 13,000 MXN* ",2022-08-11, Francisco Toledo,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Stencil and die cut on handmade paper , 70 x 56 cm ,,"Chango, papalote by Francisco Toledo",652 USD,0,70.0,56.0
1287,1462," 8,000 - 12,000 MXN "," 6,000 MXN* ",2022-08-11, Francisco Corzas,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Lithograph , 43 x 57 cm , 75 ,"Untitled by Francisco Corzas, 75",301 USD,0,43.0,57.0
1288,1463," 6,000 - 10,000 MXN "," 7,000 MXN* ",2022-08-11, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, engravings in two colors , Each 28 x 20.5 cm ,,Autorretrato; Familia by José Luis Cuevas,351 USD,1,28.0,20.5
1292,1467," 24,000 - 34,000 MXN "," 26,000 MXN* ",2022-08-11, Rafael Coronel,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Silkscreen , 74 x 92 cm ,,La pluma by Rafael Coronel,"1,305 USD",0,74.0,92.0
1294,1469," 55,000 - 70,000 MXN "," 55,000 MXN* ",2022-08-11, Rufino Tamayo,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, etchings , 56 x 76 cm , 1979 ,"Cabeza sobre fondo verde by Rufino Tamayo, 1979","2,760 USD",0,56.0,76.0
1295,1470," 8,000 - 12,000 MXN "," 9,500 MXN* ",2022-08-11, Francisco Toledo,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Stencil and die cut on handmade paper , 70 x 56 cm ,,"Chango malabarista, papalote by Francisco Toledo",477 USD,0,70.0,56.0
1296,1471," 15,000 - 26,000 MXN "," 12,000 MXN* ",2022-08-11, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Lithograph , 68.5 x 97 cm ,,Untitled by José Luis Cuevas,602 USD,0,68.5,97.0
1298,1473," 15,000 - 26,000 MXN "," 15,000 MXN* ",2022-08-11, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Serigraphy , 90 x 70 cm , 96 ,"Diálogo # II by José Luis Cuevas, 96",753 USD,0,90.0,70.0
1299,1474," 8,000 - 12,000 MXN "," 6,000 MXN* ",2022-08-11, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Engraving , 53 x 32 cm , 91 ,"Café Sevilla by José Luis Cuevas, 91",301 USD,0,53.0,32.0
1302,1477," 36,000 - 50,000 MXN ", Withdrawn ,2022-08-11, Rafael Coronel,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Giclée on canvas , 72 x 95 cm ,,Mono distraido by Rafael Coronel,,0,72.0,95.0
1304,1479," 8,000 - 12,000 MXN "," 15,000 MXN* ",2022-08-11, Francisco Toledo,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Stencil and die cut on handmade paper , 70 x 50 cm ,,"Lagartos, papalote by Francisco Toledo",753 USD,0,70.0,50.0
1305,1480," 10,000 - 15,000 MXN "," 8,000 MXN* ",2022-08-11, Raúl Anguiano,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Lithograph , 50 x 70 cm , 69 ,"Untitled by Raúl Anguiano, 69",401 USD,0,50.0,70.0
1306,1481," 11,000 - 20,000 MXN "," 12,000 MXN* ",2022-08-11, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Etching and aquatint , 63 x 43 cm , 81 ,"Carter de Blanes by José Luis Cuevas, 81",602 USD,0,63.0,43.0
1317,1492," 1,500 - 2,500 USD "," 1,900 USD* ",2022-08-07, Rufino Tamayo,Showplace Antique Center,"August 07, 2022 - New York City Estate Auction", Woodblock in Colors ," Image: 29.5"" H x 32"" W dframe: 32"" H x 24.5"" W... ",,"""Pajaro"" by Rufino Tamayo",,1,29.5,32.0
1318,1493, 200 - 400 USD , 325 USD ,2022-08-06, Fernando Botero,Vogt Auction Galleries,Spanish Colonial Mexico, Wooden panel ," 33""h x 19""w x 2""d ",,Portrait of a gentleman by Fernando Botero,,1,33.0,19.0
1319,1494, 100 - 200 USD , 177 USD ,2022-08-06, Rufino Tamayo,Vogt Auction Galleries,Spanish Colonial Mexico, Mixograph ," sight: 23 x 31"" ",,Black Cat by Rufino Tamayo,,1,23.0,31.0
1326,1501, 150 - 200 USD , 469 USD ,2022-07-23, Roberto Matta,"Skinner, Marlborough",Studio Art, Color lithograph on paper , image size 18.5 x 23.75 in. (46.9 x 60.2... , 1971 ,"Les Venusiennes by Roberto Matta, 1971",,1,18.5,23.75
1328,1503," 3,000 - 5,000 USD "," 4,500 USD* ",2022-07-30, Rufino Tamayo,Link Auction Galleries,July Gallery Auction Celebrating Link's 8th Anniversary, color lithograph , Image: 21 x 27.25 inches ,,Sandida #1 by Rufino Tamayo,"4,498 USD",1,21.0,27.25
1330,1505, 200 - 400 EUR , 176 EUR ,2022-07-27, Roberto Matta,Capitolium Art,MODERN & CONTEMPORARY ART Virtual, Screen printing multiple and bottle ," size: 35,5x11x11cm9.50 x 34.00 x 9.50 cm750 mm. ", 1992 ,"Champagne Millésime da collezione di Matta per Taittinger Collection. by Roberto Matta, 1992",178 USD,0,35.0,5.0
1331,1506, 300 - 500 EUR , 151 EUR ,2022-07-27, Roberto Matta,Capitolium Art,MODERN & CONTEMPORARY ART Virtual, Etching , Plate size: 53x49 cm 60.00 x 80.00 cm , 1980 ,"Nuotare nella musica. by Roberto Matta, 1980",153 USD,1,53.0,49.0
1332,1507," 8,000 - 12,000 USD "," 16,250 USD ",2022-07-28, Agustin Cárdenas,Hindman,Cool for the Summer, marble , 14 x 7 x 7 inches , 1991 ,"Untitled by Agustin Cárdenas, 1991","16,244 USD",1,14.0,7.0
1333,1508," 3,000 - 5,000 USD "," 6,120 USD ",2022-07-28, Rafael Coronel,Bonhams,Modern Design | Art, oil on illustration board , 30 x 40in 76.2 x 101.6cm ,,Untitled (Two Portraits) by Rafael Coronel,"6,118 USD",1,30.0,40.0
1334,1509," 1,000 - 2,000 USD "," 1,020 USD ",2022-07-28, Rafael Coronel,Bonhams,Modern Design | Art, pencil on paper , 13 x 11.125in 34.9 x 28.2cm , circa 1980 ,"Untitled (Child in Profile) by Rafael Coronel, circa 1980","1,020 USD",1,13.0,11.125
1335,1510," 800 - 1,200 USD ", 829 USD ,2022-07-28, Rafael Coronel,Bonhams,Modern Design | Art, charcoal on paper , 18 x 24in 45.7 x 60.9cm , circa 1980 ,"Untitled (Child) by Rafael Coronel, circa 1980",829 USD,1,18.0,24.0
1336,1511, 600 - 800 USD , 485 USD ,2022-07-28, Rafael Coronel,Bonhams,Modern Design | Art, color screenprint on wove paper , image 27.5 x 31.5in 69.8 x 80cm sheet... ,,Fisherman by Rafael Coronel,485 USD,1,27.5,31.5
1337,1512," 2,000 - 4,000 USD "," 2,805 USD ",2022-07-28, José Luis Cuevas,Bonhams,Modern Design | Art, ink and wash on paper , 22 x 30in 56.5 x 76.2cm , 1983 ,"Tres Cabezas by José Luis Cuevas, 1983","2,804 USD",1,22.0,30.0
1338,1513," 2,000 - 4,000 USD "," 2,423 USD ",2022-07-28, José Luis Cuevas,Bonhams,Modern Design | Art, wash and ink on paper , 19 x 12.5in 48.5 x 31.7cm 23 x 30.25in ... , 1973 ,"Mercado de Carne en Hamburgo IV by José Luis Cuevas, 1973","2,422 USD",1,19.0,12.5
1339,1514," 2,000 - 4,000 USD "," 3,188 USD ",2022-07-28, Francisco Toledo,Bonhams,Modern Design | Art, color pencil on paper , 8 x 10.75in 21.6 x 27.3cm , circa 1970 ,"No. 52 by Francisco Toledo, circa 1970","3,187 USD",1,8.0,10.75
1340,1515," 3,000 - 5,000 USD "," 5,355 USD ",2022-07-28, José Luis Cuevas,Bonhams,Modern Design | Art, watercolor on paper , 31 x 47.75in 80 x 121.3cm , 1983 ,"Adoradores del Macho Cabrío by José Luis Cuevas, 1983","5,353 USD",1,31.0,47.75
1341,1516," 1,000 - 2,000 USD "," 2,040 USD ",2022-07-28, Francisco Toledo,Bonhams,Modern Design | Art, watercolor on paper , 8 x 11in 21.6 x 27.9cm ,,Tapir Cochino by Francisco Toledo,"2,039 USD",1,8.0,11.0
1342,1517," 1,000 - 2,000 USD "," 2,295 USD ",2022-07-28, Francisco Toledo,Bonhams,Modern Design | Art, watercolor and ink with paper collage , 9 x 12.5in 23.5 x 31.7cm ,,Los Zapatos by Francisco Toledo,"2,294 USD",1,9.0,12.5
1343,1518," 4,000 - 6,000 USD "," 4,463 USD ",2022-07-28, Rafael Coronel,Bonhams,Modern Design | Art, acrylic and pencil on illustration board , 30 x 40in 76.2 x 101.6cm ,,Two Women by Rafael Coronel,"4,461 USD",1,30.0,40.0
1344,1519, 400 - 600 USD , 383 USD ,2022-07-28, José Luis Cuevas,Bonhams,Modern Design | Art, watercolor on paper , 10 x 7in 25.4 x 17.8cm , 89 ,"La Muerte Es Incompatible con la Reyecia by José Luis Cuevas, 89",383 USD,1,10.0,7.0
1345,1520," 2,000 - 3,000 USD "," 2,550 USD ",2022-07-28, José Luis Cuevas,Bonhams,Modern Design | Art, ink and wash on paper , 19 x 26in 50.2 x 66.1cm , 1973 ,"Mercado de Carne en Hamburgo by José Luis Cuevas, 1973","2,549 USD",1,19.0,26.0
1346,1521," 1,000 - 2,000 USD "," 1,020 USD ",2022-07-28, Rafael Coronel,Bonhams,Modern Design | Art, ink on paper , 11 x 8.5in 27.9 x 21.5cm , circa 1980 ,"Untitled (Figure with Hat) by Rafael Coronel, circa 1980","1,020 USD",1,11.0,8.5
1347,1522," 1,200 - 1,800 USD "," 4,080 USD ",2022-07-28, José Luis Cuevas,Bonhams,Modern Design | Art, watercolor on paper , 18 x 22.75in 45.7 x 57.7cm , 73 ,"Hombres Vestidos de Mujer (Mercado de Carne en Hamburgo) by José Luis Cuevas, 73","4,079 USD",1,18.0,22.75
1348,1523," 3,000 - 5,000 USD "," 6,120 USD ",2022-07-28, Francisco Toledo,Bonhams,Modern Design | Art, watercolor on paper , 17 x 15 in 45.1 x 40cm ,,EL Conelon by Francisco Toledo,"6,118 USD",1,17.0,15.0
1349,1524, 100 - 200 USD , 600 USD* ,2022-07-27, Roberto Matta,Revere Auctions,July: Fine Art & Decorative Art, intaglio print , height: 12 in x width: 15.25 in. height: 21... ,,Shapes and colors against a space-like background by Roberto Matta,600 USD,1,12.0,15.25
1350,1525," 3,000 - 5,000 USD "," 5,250 USD* ",2022-07-27, Roberto Matta,"Heritage Auctions, Dallas",Prints and Multiples, etching and aquatints in colors on Japon Nacre paper , 23.75 x 17.5 inches , 1974 ,"Centre Noeds by Roberto Matta, 1974","5,248 USD",1,23.75,17.5
1353,1528," 1,200 - 3,000 MXN "," 1,000 MXN* ",2022-07-23, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",SUBASTA DE OPORTUNIDADES 1148, Mixed technique on paper , 24 x 22.5 cm , 1979 ,"Morales Guerra, el fumador by José Luis Cuevas, 1979",49 USD,0,24.0,22.5
1355,1530," 5,000 - 7,000 USD "," 4,750 USD* ",2022-07-22, Rafael Coronel,DuMouchelle's,The July Auctions: Day 2, OIL ON CANVAS ," H 18"" W 24"" ",,RETRATO #4 by Rafael Coronel,"4,748 USD",1,18.0,24.0
1356,1531," 15,000 - 20,000 USD "," 20,400 USD ",2022-07-12, Agustín‏ Fernández,Bonhams,Post-War & Contemporary Art Online, oil on canvas , 123.9 by 124.5 cm. 49 in. , dated 63 ,"Le Fil d'Ariadne by Agustín‏ Fernández, dated 63","20,393 USD",1,123.9,124.5
1357,1532," 15,000 - 20,000 USD "," 28,050 USD ",2022-07-12, Agustín‏ Fernández,Bonhams,Post-War & Contemporary Art Online, oil on canvas , 55 by 50 in. 139.7 by 128.3 cm. , dated 64 ,"L'Origen by Agustín‏ Fernández, dated 64","28,040 USD",1,55.0,50.0
1358,1533," 5,000 - 7,000 USD "," 7,013 USD ",2022-07-12, Roberto Matta,Bonhams,Post-War & Contemporary Art Online," graphite, wax crayon and colored pencil on paper mounted on paperboard ", 9 by 13.625 in. 24.7 by 34.6 cm. , executed in 1948 ,"Untitled by Roberto Matta, executed in 1948","7,011 USD",1,9.0,13.625
1360,1535, 200 - 400 EUR , 263 EUR ,2022-07-21, Roberto Matta,Art-Rite Auction House,MODERN AND CONTEMPORARY ART AUCTION, Etching and coloured aquatint ," 41,5 x 55,5 cm (plate) ", 1972 ,"Omnimal by Roberto Matta, 1972",268 USD,1,41.0,5.0
1361,1536, 200 - 400 EUR , 322 EUR ,2022-07-21, Roberto Matta,Art-Rite Auction House,MODERN AND CONTEMPORARY ART AUCTION, Etching and coloured aquatint ," 37,5 x 47,5 cm 49,5 x 66 cm ", 1972 ,"Sexplication suffisante by Roberto Matta, 1972",328 USD,0,37.0,5.0
1362,1537, 200 - 400 EUR , 200 EUR ,2022-07-21, Roberto Matta,Art-Rite Auction House,MODERN AND CONTEMPORARY ART AUCTION, Etching and coloured aquatint on Japon Impérial paper , 28 x 22 cm (plate) , 1964 ,"Les voix by Roberto Matta, 1964",204 USD,1,28.0,22.0
1364,1539," 140,000 - 160,000 EUR "," 145,000 EUR* ",2022-07-20, Fernando Botero,Monte-Carlo Auction House,"Modern, Contemporary Art & Design", Oil on canvas ," 36,5 x 49,5 cm ", 1998 ,"Nature morte aux fruits, couteau et théière devant une fenêtre by Fernando Botero, 1998","148,052 USD",0,36.0,5.0
1374,1549," 15,000 - 20,000 EUR "," 15,120 EUR ",2022-07-13, Roberto Matta,Capitolium Art,MODERN & CONTEMPORARY ART Traditional, Mixed media on canvas , 95.00 x 72.00 cm , 1951 ,"Untitled. by Roberto Matta, 1951","15,236 USD",0,95.0,72.0
1375,1550," 75,000 - 100,000 EUR "," 31,500 EUR ",2022-07-13, Roberto Matta,Capitolium Art,MODERN & CONTEMPORARY ART Traditional, Bronze sculpture , 120.00 x 205.00 x 110.00 cm , 1970 ,"Samotriosa/Homo flux. by Roberto Matta, 1970","31,741 USD",0,120.0,205.0
1377,1552," 1,500 - 2,500 USD "," 1,890 USD ",2022-07-14, Rufino Tamayo,Doyle New York,Fine Art, Color lithograph , Image 30.5 x 21.5 inches 775 x 546 mm. ... , 1959 ,"MUJER INDIA (PEREDA 55) by Rufino Tamayo, 1959","1,889 USD",1,30.5,21.5
1378,1553, 500 - 700 USD , 315 USD ,2022-07-14, Gustavo Montoya,Doyle New York,Fine Art, Two color screenprints , 23.625 x 17.875 inches 600 x 454 mm. 27.25 x... , 1985 ,"SANDÍAS; COCINA by Gustavo Montoya, 1985",315 USD,1,23.625,17.875
1379,1554," 1,000 - 1,500 USD "," 1,260 USD ",2022-07-14, Fernando Botero,Doyle New York,Fine Art, Color offset lithograph , Image 38.25 x 29.5 inches 972 x 749 mm.... , 1975 ,"PEDRITO by Fernando Botero, 1975","1,260 USD",1,38.25,29.5
1380,1555," 20,000 - 30,000 EUR "," 24,570 EUR ",2022-07-13, Roberto Matta,Capitolium Art,MODERN & CONTEMPORARY ART Traditional, Oil on canvas , 102.30 x 83.80 cm ,,Untitled. by Roberto Matta,"24,758 USD",0,102.3,83.8
1385,1560, 300 - 400 EUR , 300 EUR* ,2022-07-12, Miguel Covarrubias,Tessier & Sarrou,ONLINE SALE - POSTERS, Offset poster ," 93,5 x 68 cm ", 1943 ,"Oaxaca. by Miguel Covarrubias, 1943",302 USD,0,93.0,5.0
1386,1561," 800 - 1,000 EUR ", 380 EUR* ,2022-07-12, Roberto Matta,Mediartrade Casa d'aste,Pre asta aperta, Etching and aquatint on Japon paper , H66 x L51 cm 47x36 cm 10 in , 1977 ,"Plusieurs autres vies by Roberto Matta, 1977",383 USD,1,66.0,51.0
1387,1562, 100 - 200 EUR , 650 EUR* ,2022-07-12, Roberto Matta,Accademia Fine Art,CURIOSITIES – DISCOVERIES – HOUSE BACKROUND - SESSION 2, color lithographic box ," Dimensions couverture : 58 x 59,7 cm ", 1990 ,"MUZIK-FOOT by Roberto Matta, 1990",654 USD,0,58.0,59.0
1388,1563," 800 - 1,000 EUR ", 420 EUR* ,2022-07-12, Roberto Matta,Mediartrade Casa d'aste,Pre asta aperta, Etching and aquatint on Japon paper , H66 x L51 cm 47x36 cm 10 in , 1977 ,"Feu, feu sur moi by Roberto Matta, 1977",423 USD,1,66.0,51.0
1389,1564, 40 - 60 EUR , 30 EUR* ,2022-07-12, Roberto Matta,Tessier & Sarrou,ONLINE SALE - POSTERS, Lithographic poster ," 80 x 56,5 cm ",,Matta 55 drawings since 1937 by Roberto Matta,30 USD,0,80.0,56.0
1391,1566," 1,500 - 2,500 USD "," 1,400 USD* ",2022-07-10, Rufino Tamayo,Showplace Antique Center,"July 10, 2022 - New York City Estate Auction", Lithograph ," Image: 29.75"" H x 22.25"" W dframe: 31.5"" H x... ",,"""Carnavalesca"" by Rufino Tamayo","1,400 USD",1,29.75,22.25
1392,1567, 600 - 900 USD , 850 USD* ,2022-07-10, Rufino Tamayo,Clarke Auction,Summer Estate Auction., Etching and aquatint ," 8 x 5.875"" 10.25 x 8"" ", 1947 ,"Hombre Contemplando la Luna by Rufino Tamayo, 1947",850 USD,1,8.0,5.875
1393,1568," 1,800 - 2,800 SGD "," 2,000 SGD* ",2022-07-10, Miguel Covarrubias,"Larasati Auctioneers, Singapore",Modern and Contemporary Southeast Asian Art, lithograph , 33 x 25 cm , circa 1943 ,"Rice Granary, Bali by Miguel Covarrubias, circa 1943","1,428 USD",0,33.0,25.0
1394,1569," 2,200 - 3,200 SGD "," 2,800 SGD* ",2022-07-10, Miguel Covarrubias,"Larasati Auctioneers, Singapore",Modern and Contemporary Southeast Asian Art, lithograph , 27 x 22 cm 42 x 34 cm ,,Head of Balinese Girl by Miguel Covarrubias,"2,000 USD",0,27.0,22.0
1395,1570," 1,000 - 1,500 USD ", 600 USD* ,2022-07-10, Miguel Covarrubias,Thomaston Place Auction Galleries,July Splendor 2022 - Day 3, pencil on paper ," 26.5"" x 23"" 14"" x 11"" ",,Bust of a Woman by Miguel Covarrubias,600 USD,1,26.5,23.0
1396,1571, 50 - 100 GBP , 50 GBP* ,2022-07-09, Fernando Botero,Eastbourne Auctions,"Live Online Auction - Antiques, Collectables & General Sale including Jewellery", oil on board , 49.5cm x 39.5cm ,,Two figures by Fernando Botero,60 USD,0,49.5,39.5
1398,1573, 300 - 500 EUR , 528 EUR ,2022-06-28, Roberto Matta,Fine Art Auctions,Art of the 20th Century | ONLINE ONLY, Colour etching on Arches (watermark) ," 49,5 x 68cm. 57 x 76,5cm. ", 1971 ,"Le poing de jour (From: Hommage à Picasso). by Roberto Matta, 1971",556 USD,0,49.0,5.0
1399,1574," 800 - 1,200 EUR "," 1,820 EUR ",2022-07-07, Alicia Penalba,Piasa,Contemporary Design, Enameled porcelain , H 99 × Ø 40 cm , 1970s ,"Table lamp by Alicia Penalba, 1970s","1,847 USD",0,99.0,40.0
1407,1582, 150 - 250 EUR , 210 EUR* ,2022-07-07, Roberto Matta,Lynda Trouvé,Belle vente classique, color lithograph on paper , 54x76 cm , 1976 ,"Les convaincus by Roberto Matta, 1976",213 USD,0,54.0,76.0
1408,1583, 50 - 100 GBP , 50 GBP* ,2022-07-07, Fernando Botero,Eastbourne Auctions,"Live Online Auction - Antiques, Collectables & General Sale including Jewellery", oil on board , 49.5cm x 39.5cm ,,After Fernando Botero - Two figures by Fernando Botero,60 USD,0,49.5,39.5
1409,1584, 400 EUR , 550 EUR* ,2022-07-05, Fernando Botero,Segre Auctions,July Auction: Paintings and Sculptures, Offset-Lithography on paper ," 57,5 x 48,5 cm ", 1990 ,"Hombre con Perro. by Fernando Botero, 1990",564 USD,0,57.0,5.0
1411,1586," 1,500 - 2,000 EUR "," 1,300 EUR* ",2022-07-05, Roberto Matta,Itineris,MODERN & CONTEMPORARY ART, 18kt yellow gold , 28 ,,ANELLO by Roberto Matta,"1,334 USD",1,28.0,
1412,1587, 300 - 500 EUR , 500 EUR ,2022-06-28, Roberto Matta,Pandolfini,MODERN AND CONTEMPORARY .., drawing in colored pencils , 70x50 cm , 1978 ,"La Araucana by Roberto Matta, 1978",527 USD,0,70.0,50.0
1413,1588, 500 - 550 EUR , Withdrawn ,2022-07-04, Enrique Grau,Setdart,Graphic work and photogrphy, Silkscreen , 97.5 x 67.5 cm 120 x 85.5 cm. , 1994 ,"""Pineapple"" by Enrique Grau, 1994",,0,97.5,67.5
1415,1590, 200 - 300 EUR , 384 EUR* ,2022-07-01, Roberto Matta,Ader,POST-WAR AND CONTEMPORARY PRINTS - DAY 2 - LOTS 202 TO 400, Etching and aquatint ," 28,5 x 21,5 cm ", 1970 ,"The Sea - Salt Pathway by Roberto Matta, 1970",400 USD,0,28.0,5.0
1419,1594," 2,000 - 3,000 EUR "," 2,590 EUR* ",2022-06-30, Roberto Matta,Fine Art Auctions,Impressionists & Modern Art, color serigraph , Ca. 117 x 124 cm ,,MES DESSINS by Roberto Matta,"2,710 USD",1,117.0,124.0
1420,1595, 100 - 200 GBP , 280 GBP* ,2022-06-30, Fernando Botero,"Dawsons, London","Fine Art, Antiques & Asian Art", patinated bronze , 33 cm high ,,a patinated bronze figure of a woman by Fernando Botero,340 USD,0,33.0,
1422,1597, 400 - 600 EUR , 390 EUR ,2022-06-29, Roberto Matta,Cornette de Saint Cyr,LIMITED EDITIONS, color lithograph , 52 × 74 cm (à vue) ,,UNTITLED by Roberto Matta,408 USD,0,52.0,74.0
1424,1599, 400 - 600 EUR , 780 EUR ,2022-06-29, Roberto Matta,Cornette de Saint Cyr,LIMITED EDITIONS, Etching and aquatint in color on Arches vellum , 60 × 73 cm , 1978 ,"REQUIEM POUR LA FIN DES TEMPS by Roberto Matta, 1978",817 USD,0,60.0,73.0
1425,1600, 500 - 700 USD , 325 USD* ,2022-06-29, Fernando Botero,Kodner Galleries,"Estate Jewelry, Art & Collectibles", Color Lithograph on Paper ," 38.25"" x 29.25"" 45"" x 35.5"" 1975"" ", 1975 ,"Pedrito, 1975 by Fernando Botero, 1975",325 USD,1,38.25,29.25
